id_steam	nom	date_sortie	genre	lien_image	emotions
1243830	Overcooked! All You Can Eat	23 Mar, 2021	Casual, Indie, Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/1243830/header.jpg?t=1705075853	
1292630	3on3 FreeStyle: Rebound	14 Jul, 2020	Action, Casual, Indie, RPG, Sports, Free to Play	https://cdn.akamai.steamstatic.com/steam/apps/1292630/header_alt_assets_1.jpg?t=1710914315	
1677110	Lightyear Frontier	19 Mar, 2024	Adventure, Casual, Indie, Simulation, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/1677110/header.jpg?t=1711104629	
2594920	Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator	24 Jan, 2024	Adventure, Casual, RPG	https://cdn.akamai.steamstatic.com/steam/apps/2594920/header.jpg?t=1707450011	
2344520	Diablo® IV	17 Oct, 2023	Action, RPG	https://cdn.akamai.steamstatic.com/steam/apps/2344520/header.jpg?t=1710280608	
2075070	KinitoPET	9 Jan, 2024	Casual, Indie, Simulation	https://cdn.akamai.steamstatic.com/steam/apps/2075070/header.jpg?t=1709143073	
620	Portal 2	18 Apr, 2011	Action, Adventure	https://cdn.akamai.steamstatic.com/steam/apps/620/header.jpg?t=1698805825	
694130	My Free Zoo	28 Nov, 2017	Casual, Free to Play, Simulation	https://cdn.akamai.steamstatic.com/steam/apps/694130/header.jpg?t=1667822909	
1937500	Let's School	26 Jul, 2023	Casual, Indie, Simulation	https://cdn.akamai.steamstatic.com/steam/apps/1937500/header.jpg?t=1708505642	
1046030	ISLANDERS	4 Apr, 2019	Casual, Indie, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/1046030/header.jpg?t=1688541994	
1561040	Diluvian Winds	25 May, 2023	RPG, Simulation, Strategy, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/1561040/header.jpg?t=1707921916	
638510	dotAGE	4 Oct, 2023	Indie, Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/638510/header.jpg?t=1703170100	
726840	City Game Studio: Your Game Dev Adventure Begins	24 Aug, 2021	Casual, Indie, Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/726840/header.jpg?t=1711352451	
1138640	Hometopia	27 Sep, 2023	Casual, Simulation, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/1138640/header.jpg?t=1698961599	
2141770	URBO	13 Sep, 2023	Strategy	https://cdn.akamai.steamstatic.com/steam/apps/2141770/header.jpg?t=1702278502	
955900	Amazing Cultivation Simulator	24 Nov, 2020	Indie, RPG, Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/955900/header.jpg?t=1656299765	
700820	TFM: The First Men	2 Nov, 2022	Indie, Simulation, Strategy, Early Access	https://cdn.akamai.steamstatic.com/steam/apps/700820/header.jpg?t=1696005120	
2414110	Builderment	24 Oct, 2023	Casual, Indie, Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/2414110/header.jpg?t=1698166080	
375910	Anno 2205™	2 Nov, 2015	Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/375910/header.jpg?t=1692034365	
602320	Train Valley 2	15 Apr, 2019	Adventure, Casual, Indie, Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/602320/header.jpg?t=1710346893	
2639610	Popper Lands Colony	28 Feb, 2024	Adventure, Casual	https://cdn.akamai.steamstatic.com/steam/apps/2639610/header.jpg?t=1709158459	
2660750	Teku	14 Nov, 2023	Casual, Indie	https://cdn.akamai.steamstatic.com/steam/apps/2660750/header.jpg?t=1700028661	
367520	Hollow Knight	24 Feb, 2017	Action, Adventure, Indie	https://cdn.akamai.steamstatic.com/steam/apps/367520/header.jpg?t=1695270428	
1927780	Galaxy Life	31 Aug, 2022	Free to Play, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/1927780/header.jpg?t=1689257970	
